,Date,Open,High,Low,Close,Adj Close,Volume
268,"Jan 31, 2022",300.68,313.79,299.32,313.26,313.26,"21,579,500"
269,"Jan 28, 2022",295.62,301.90,293.03,301.71,301.71,"21,871,600"
270,"Jan 27, 2022",297.75,301.71,294.26,294.64,294.64,"21,629,900"
271,"Jan 26, 2022",307.01,307.51,290.85,294.63,294.63,"28,348,800"
272,"Jan 25, 2022",299.95,306.23,297.58,300.15,300.15,"25,108,500"
273,"Jan 24, 2022",297.84,309.53,289.01,308.71,308.71,"38,878,100"
274,"Jan 21, 2022",314.81,318.31,303.04,303.17,303.17,"28,710,700"
275,"Jan 20, 2022",323.90,327.82,315.98,316.56,316.56,"16,925,000"
276,"Jan 19, 2022",319.58,327.10,319.33,319.59,319.59,"20,814,700"
277,"Jan 18, 2022",323.29,324.21,317.64,318.15,318.15,"22,645,600"
278,"Jan 14, 2022",321.79,332.73,321.21,331.90,331.90,"16,868,500"
279,"Jan 13, 2022",334.98,335.63,325.76,326.48,326.48,"14,797,100"
280,"Jan 12, 2022",335.18,336.37,330.03,333.26,333.26,"14,104,900"
281,"Jan 11, 2022",326.78,334.63,325.28,334.37,334.37,"16,226,800"
282,"Jan 10, 2022",325.31,328.34,315.43,328.07,328.07,"24,942,400"
283,"Jan 07, 2022",332.74,337.00,328.88,331.79,331.79,"14,722,000"
284,"Jan 06, 2022",322.82,339.17,322.72,332.46,332.46,"27,962,800"
285,"Jan 05, 2022",333.02,335.76,323.84,324.17,324.17,"20,564,500"
286,"Jan 04, 2022",339.95,343.09,331.87,336.53,336.53,"15,998,000"
287,"Jan 03, 2022",338.30,341.08,337.19,338.54,338.54,"14,537,900"
288,"Dec 31, 2021",343.02,343.44,336.27,336.35,336.35,"12,870,500"
289,"Dec 30, 2021",344.00,347.23,343.22,344.36,344.36,"10,593,300"
290,"Dec 29, 2021",346.91,349.69,341.64,342.94,342.94,"10,747,000"
291,"Dec 28, 2021",346.63,352.71,345.20,346.22,346.22,"16,637,600"
292,"Dec 27, 2021",338.85,347.87,338.01,346.18,346.18,"17,795,000"
293,"Dec 23, 2021",330.10,336.67,328.36,335.24,335.24,"13,987,700"
294,"Dec 22, 2021",333.80,334.51,328.26,330.45,330.45,"16,764,600"
295,"Dec 21, 2021",326.41,336.00,323.75,334.20,334.20,"16,116,800"
296,"Dec 20, 2021",329.78,329.90,322.53,325.45,325.45,"17,901,800"
297,"Dec 17, 2021",332.80,337.11,330.75,333.79,333.79,"40,012,600"
298,"Dec 16, 2021",338.98,344.46,333.74,334.90,334.90,"22,635,000"
299,"Dec 15, 2021",332.49,342.11,323.98,341.66,341.66,"24,681,300"
300,"Dec 14, 2021",328.05,335.70,327.65,333.74,333.74,"20,461,000"
301,"Dec 13, 2021",330.95,341.09,329.59,334.49,334.49,"22,948,700"
302,"Dec 10, 2021",332.56,335.03,326.37,329.75,329.75,"14,528,000"
303,"Dec 09, 2021",329.54,336.13,328.00,329.82,329.82,"16,879,200"
304,"Dec 08, 2021",325.00,332.75,323.07,330.56,330.56,"19,937,700"
305,"Dec 07, 2021",321.57,326.54,321.00,322.81,322.81,"18,794,000"
306,"Dec 06, 2021",308.13,320.10,306.34,317.87,317.87,"21,758,300"
307,"Dec 03, 2021",313.73,313.75,299.50,306.84,306.84,"27,471,000"
308,"Dec 02, 2021",311.40,314.60,307.20,310.39,310.39,"24,396,200"
309,"Dec 01, 2021",330.29,330.50,310.29,310.60,310.60,"30,329,600"
310,"Nov 30, 2021",335.00,335.81,323.43,324.46,324.46,"25,390,000"
311,"Nov 29, 2021",336.89,340.67,335.31,338.03,338.03,"16,650,900"
312,"Nov 26, 2021",335.80,337.75,331.90,333.12,333.12,"14,750,700"
313,"Nov 24, 2021",336.00,341.78,332.81,341.06,341.06,"13,566,200"
314,"Nov 23, 2021",338.93,341.40,333.50,337.25,337.25,"17,225,000"
315,"Nov 22, 2021",349.05,353.83,340.51,341.01,341.01,"27,116,800"
316,"Nov 19, 2021",342.20,352.10,339.90,345.30,345.30,"26,488,500"
317,"Nov 18, 2021",339.72,342.46,335.30,338.69,338.69,"17,487,200"
318,"Nov 17, 2021",344.24,347.30,340.10,340.77,340.77,"13,602,800"
319,"Nov 16, 2021",343.83,346.65,340.87,342.96,342.96,"18,181,100"
320,"Nov 15, 2021",344.34,353.65,343.20,347.56,347.56,"25,076,600"
321,"Nov 12, 2021",330.18,341.86,329.78,340.89,340.89,"25,414,300"
322,"Nov 11, 2021",329.82,332.46,327.00,327.74,327.74,"12,376,600"
323,"Nov 10, 2021",332.49,333.19,325.51,327.64,327.64,"21,872,600"
324,"Nov 09, 2021",340.00,341.31,334.47,335.37,335.37,"17,556,700"
325,"Nov 08, 2021",344.42,344.79,338.34,338.62,338.62,"18,342,500"
326,"Nov 05, 2021",340.31,346.79,339.64,341.13,341.13,"26,872,800"
327,"Nov 04, 2021",334.01,337.27,332.65,335.85,335.85,"22,495,300"
328,"Nov 03, 2021",327.49,332.15,323.20,331.62,331.62,"20,786,500"
329,"Nov 02, 2021",331.38,334.79,323.80,328.08,328.08,"28,353,000"
330,"Nov 01, 2021",326.04,333.45,326.00,329.98,329.98,"31,518,900"
331,"Oct 29, 2021",320.19,326.00,319.60,323.57,323.57,"37,059,400"
332,"Oct 28, 2021",312.99,325.52,308.11,316.92,316.92,"50,806,800"
333,"Oct 27, 2021",314.19,319.25,312.06,312.22,312.22,"29,971,800"
334,"Oct 26, 2021",328.26,330.21,309.60,315.81,315.81,"65,654,000"
335,"Oct 25, 2021",320.30,329.56,319.72,328.69,328.69,"38,409,000"
336,"Oct 22, 2021",326.35,329.63,321.11,324.61,324.61,"35,224,500"
